Series ID,Year,Period,Label,Value
SUUR0000SAT,2023,M07,2023 Jul,179.009
SUUR0000SAT,2023,M08,2023 Aug,180.900
SUUR0000SAT,2023,M09,2023 Sep,179.456
SUUR0000SAT,2023,M10,2023 Oct,177.789
SUUR0000SAT,2023,M11,2023 Nov,175.314
SUUR0000SAT,2023,M12,2023 Dec,172.609
SUUR0000SAT,2024,M01,2024 Jan,171.764
SUUR0000SAT,2024,M02,2024 Feb,174.807
SUUR0000SAT,2024,M03,2024 Mar,178.961
SUUR0000SAT,2024,M04,2024 Apr,181.711
SUUR0000SAT,2024,M05,2024 May,181.759
SUUR0000SAT,2024,M06,2024 Jun,180.120
SUUR0000SAT,2024,M07,2024 Jul,179.333
SUUR0000SAT,2024,M08,2024 Aug,177.804
SUUR0000SAT,2024,M09,2024 Sep,176.743
SUUR0000SAT,2024,M10,2024 Oct,176.743
SUUR0000SAT,2024,M11,2024 Nov,175.961
SUUR0000SAT,2024,M12,2024 Dec,175.505
SUUR0000SAT,2025,M01,2025 Jan,177.417
SUUR0000SAT,2025,M02,2025 Feb,177.997
SUUR0000SAT,2025,M03,2025 Mar,177.399
SUUR0000SAT,2025,M04,2025 Apr,179.174
SUUR0000SAT,2025,M05,2025 May,179.580
SUUR0000SAT,2025,M06,2025 Jun,179.875
SUUR0000SAT,2025,M07,2025 Jul,179.884
SUUR0000SAT,2025,M08,2025 Aug,180.165
SUUR0000SAT,2025,M09,2025 Sep,180.441
SUUR0000SAT,2025,M11,2025 Nov,179.168
SUUR0000SAT,2025,M12,2025 Dec,176.423
SUUR0000SAT,2026,M01,2026 Jan,175.624
SUUR0000SAT,2026,M02,2026 Feb,177.049
SUUR0000SAT,2026,M03,2026 Mar,186.204
SUUR0000SAT,2026,M04,2026 Apr,191.374
